filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
1zzds,Notizbuch C11,1875,1875,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1zzds,Notizbuch C11,1875,1875,,2,.//tei:sourceDoc//tei:note[@type='authorial'],8
1zzds,Notizbuch C11,1875,1875,,106,.//tei:sourceDoc//tei:surface,5
1zzds,Notizbuch C11,1875,1875,,287,.//tei:sourceDoc//tei:add,5
1zzds,Notizbuch C11,1875,1875,,309,.//tei:sourceDoc//tei:zone,5
1zzds,Notizbuch C11,1875,1875,,1677,.//tei:sourceDoc//tei:line,5
1zzds,Notizbuch C11,1875,1875,,1382,.//tei:sourceDoc//tei:seg,5
1zzds,Notizbuch C11,1875,1875,,1,.//tei:abstract,2
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,10,.//tei:sourceDoc//tei:note[@type='editorial'],26
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,9,.//tei:sourceDoc//tei:note[@type='authorial'],2
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,141,.//tei:sourceDoc//tei:surface,3
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,11,.//tei:sourceDoc//tei:add,3
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,158,.//tei:sourceDoc//tei:zone,3
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,909,.//tei:sourceDoc//tei:line,3
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,336,.//tei:sourceDoc//tei:seg,3
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,1,.//tei:abstract,2
1zzf2,Notizbuch E2,,,,10,.//tei:sourceDoc//tei:note[@type='editorial'],28
1zzf2,Notizbuch E2,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzf2,Notizbuch E2,,,,153,.//tei:sourceDoc//tei:surface,21
1zzf2,Notizbuch E2,,,,46,.//tei:sourceDoc//tei:add,21
1zzf2,Notizbuch E2,,,,470,.//tei:sourceDoc//tei:zone,21
1zzf2,Notizbuch E2,,,,2103,.//tei:sourceDoc//tei:line,21
1zzf2,Notizbuch E2,,,,1016,.//tei:sourceDoc//tei:seg,21
1zzf2,Notizbuch E2,,,,1,.//tei:abstract,2
1rhdj,Notizbuch A12,,,,1,.//tei:sourceDoc//tei:note[@type='editorial'],11
1rhdj,Notizbuch A12,,,,3,.//tei:sourceDoc//tei:note[@type='authorial'],8
1rhdj,Notizbuch A12,,,,308,.//tei:sourceDoc//tei:surface,4
1rhdj,Notizbuch A12,,,,89,.//tei:sourceDoc//tei:add,4
1rhdj,Notizbuch A12,,,,327,.//tei:sourceDoc//tei:zone,4
1rhdj,Notizbuch A12,,,,2656,.//tei:sourceDoc//tei:line,4
1rhdj,Notizbuch A12,,,,1406,.//tei:sourceDoc//tei:seg,4
1rhdj,Notizbuch A12,,,,1,.//tei:abstract,2
1rhdp,Notizbuch C10,1874,,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1rhdp,Notizbuch C10,1874,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1rhdp,Notizbuch C10,1874,,,125,.//tei:sourceDoc//tei:surface,2
1rhdp,Notizbuch C10,1874,,,52,.//tei:sourceDoc//tei:add,2
1rhdp,Notizbuch C10,1874,,,330,.//tei:sourceDoc//tei:zone,2
1rhdp,Notizbuch C10,1874,,,1666,.//tei:sourceDoc//tei:line,2
1rhdp,Notizbuch C10,1874,,,916,.//tei:sourceDoc//tei:seg,2
1rhdp,Notizbuch C10,1874,,,1,.//tei:abstract,2
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,23,.//tei:sourceDoc//tei:note[@type='editorial'],25
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,134,.//tei:sourceDoc//tei:surface,30
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,71,.//tei:sourceDoc//tei:add,30
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,233,.//tei:sourceDoc//tei:zone,30
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,2005,.//tei:sourceDoc//tei:line,30
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,919,.//tei:sourceDoc//tei:seg,30
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,1,.//tei:abstract,2
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,2,.//tei:sourceDoc//tei:note[@type='editorial'],50
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,102,.//tei:sourceDoc//tei:surface,41
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,17,.//tei:sourceDoc//tei:add,41
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,181,.//tei:sourceDoc//tei:zone,41
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,527,.//tei:sourceDoc//tei:line,41
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,253,.//tei:sourceDoc//tei:seg,41
1zwx0,Notizbuch E4,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,1,.//tei:abstract,215
22jtq,Notizbuch A7,,,,4,.//tei:sourceDoc//tei:note[@type='editorial'],14
22jtq,Notizbuch A7,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtq,Notizbuch A7,,,,265,.//tei:sourceDoc//tei:surface,29
22jtq,Notizbuch A7,,,,163,.//tei:sourceDoc//tei:add,29
22jtq,Notizbuch A7,,,,714,.//tei:sourceDoc//tei:zone,29
22jtq,Notizbuch A7,,,,2526,.//tei:sourceDoc//tei:line,29
22jtq,Notizbuch A7,,,,1945,.//tei:sourceDoc//tei:seg,29
22jtq,Notizbuch A7,,,,1,.//tei:abstract,2
22jtr,Notizbuch A13,,,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
22jtr,Notizbuch A13,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtr,Notizbuch A13,,,,141,.//tei:sourceDoc//tei:surface,2
22jtr,Notizbuch A13,,,,141,.//tei:sourceDoc//tei:add,2
22jtr,Notizbuch A13,,,,365,.//tei:sourceDoc//tei:zone,2
22jtr,Notizbuch A13,,,,1610,.//tei:sourceDoc//tei:line,2
22jtr,Notizbuch A13,,,,1011,.//tei:sourceDoc//tei:seg,2
22jtr,Notizbuch A13,,,,1,.//tei:abstract,2
1zzdx,Notizbuch D6,1870,1870,,22,.//tei:sourceDoc//tei:note[@type='editorial'],21
1zzdx,Notizbuch D6,1870,1870,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzdx,Notizbuch D6,1870,1870,,163,.//tei:sourceDoc//tei:surface,40
1zzdx,Notizbuch D6,1870,1870,,115,.//tei:sourceDoc//tei:add,40
1zzdx,Notizbuch D6,1870,1870,,536,.//tei:sourceDoc//tei:zone,40
