title,modules,count_elements,el_ident,attDef,attDef_len,valItem,valItem_len
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,ab,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,abbr,type,1,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,affiliation,ref,1,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,author,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,availability,status,1,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,bibl,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,birth,when-iso/cert/precision/notBefore-iso/notAfter-iso,5,low/low,2
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,body,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,change,target/who/when-iso/status,4,published,1
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,choice,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,citedRange,,0,,0
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,death,when-iso/cert/precision/notBefore-iso/notAfter-iso,5,low/low,2
ODD zu den Registern von Theodor Fontane: Notizbücher. Digitale genetisch-kritische und kommentierte Edition. Hrsg. von Gabriele Radecke,core/tei/header/textstructure/namesdates/linking/transcr,63,date,when-iso/from-iso/to-iso/notBefore-iso/notAfter-iso,5,,0
