notebook_title,count_context,context,average_context
Notizbuch C11,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C11,2,.//tei:sourceDoc//tei:note[@type='authorial'],8.0
Notizbuch C11,106,.//tei:sourceDoc//tei:surface,5.0
Notizbuch C11,287,.//tei:sourceDoc//tei:add,5.0
Notizbuch C11,309,.//tei:sourceDoc//tei:zone,5.0
Notizbuch C11,1677,.//tei:sourceDoc//tei:line,5.0
Notizbuch C11,1382,.//tei:sourceDoc//tei:seg,5.0
Notizbuch C11,1,.//tei:abstract,2.0
Notizbuch B3,10,.//tei:sourceDoc//tei:note[@type='editorial'],26.1
Notizbuch B3,9,.//tei:sourceDoc//tei:note[@type='authorial'],1.78
Notizbuch B3,141,.//tei:sourceDoc//tei:surface,3.0
Notizbuch B3,11,.//tei:sourceDoc//tei:add,3.0
Notizbuch B3,158,.//tei:sourceDoc//tei:zone,3.0
Notizbuch B3,909,.//tei:sourceDoc//tei:line,3.0
Notizbuch B3,336,.//tei:sourceDoc//tei:seg,3.0
Notizbuch B3,1,.//tei:abstract,2.0
Notizbuch E2,10,.//tei:sourceDoc//tei:note[@type='editorial'],28.5
Notizbuch E2,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch E2,153,.//tei:sourceDoc//tei:surface,21.0
Notizbuch E2,46,.//tei:sourceDoc//tei:add,21.0
Notizbuch E2,470,.//tei:sourceDoc//tei:zone,21.0
Notizbuch E2,2103,.//tei:sourceDoc//tei:line,21.0
Notizbuch E2,1016,.//tei:sourceDoc//tei:seg,21.0
Notizbuch E2,1,.//tei:abstract,2.0
Notizbuch A12,1,.//tei:sourceDoc//tei:note[@type='editorial'],11.0
Notizbuch A12,3,.//tei:sourceDoc//tei:note[@type='authorial'],8.33
Notizbuch A12,308,.//tei:sourceDoc//tei:surface,4.0
Notizbuch A12,89,.//tei:sourceDoc//tei:add,4.0
Notizbuch A12,327,.//tei:sourceDoc//tei:zone,4.0
Notizbuch A12,2656,.//tei:sourceDoc//tei:line,4.0
Notizbuch A12,1406,.//tei:sourceDoc//tei:seg,4.0
Notizbuch A12,1,.//tei:abstract,2.0
Notizbuch C10,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C10,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C10,125,.//tei:sourceDoc//tei:surface,2.0
Notizbuch C10,52,.//tei:sourceDoc//tei:add,2.0
Notizbuch C10,330,.//tei:sourceDoc//tei:zone,2.0
Notizbuch C10,1666,.//tei:sourceDoc//tei:line,2.0
Notizbuch C10,916,.//tei:sourceDoc//tei:seg,2.0
