filename,notebook_title,eve,lit,org,plc,psn,wrk,date_e,date_a,date_f,count_context,context,average_context
1zzds,Notizbuch C11,2,0,2,498,237,116,1875,1875,,855,.//tei:sourceDoc//tei:rs,0
22jt8,Notizbuch B3,0,0,0,0,62,129,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,191,.//tei:sourceDoc//tei:rs,0
1zzf2,Notizbuch E2,4,0,45,56,167,342,,,,614,.//tei:sourceDoc//tei:rs,0
1rhdj,Notizbuch A12,5,0,23,199,612,160,,,,999,.//tei:sourceDoc//tei:rs,0
1rhdp,Notizbuch C10,0,0,0,159,260,185,1874,,,604,.//tei:sourceDoc//tei:rs,0
22jtf,Notizbuch B13,0,0,0,1,146,353,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,500,.//tei:sourceDoc//tei:rs,0
1zwx0,Notizbuch E4,0,0,0,42,31,51,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,124,.//tei:sourceDoc//tei:rs,0
22jtq,Notizbuch A7,21,0,20,554,462,185,,,,1242,.//tei:sourceDoc//tei:rs,0
22jtr,Notizbuch A13,8,0,8,262,239,81,,,,598,.//tei:sourceDoc//tei:rs,0
1zzdx,Notizbuch D6,13,0,72,482,306,71,1870,1870,,944,.//tei:sourceDoc//tei:rs,0
1zzdm,Notizbuch A3,13,0,29,521,500,150,,,,1214,.//tei:sourceDoc//tei:rs,0
2128d,Notizbuch A2,21,0,16,314,201,137,1873,1873,,689,.//tei:sourceDoc//tei:rs,0
1rhds,Notizbuch E1,0,0,2,37,21,109,1874 1878,1874,,169,.//tei:sourceDoc//tei:rs,0
1rhdn,Notizbuch C4,48,0,70,347,109,39,1872,1872,,617,.//tei:sourceDoc//tei:rs,0
22jts,Notizbuch B4,0,0,0,34,62,134,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,230,.//tei:sourceDoc//tei:rs,0
1rhdk,Notizbuch A18,16,0,12,382,292,61,1867,1867,,763,.//tei:sourceDoc//tei:rs,0
2128n,Notizbuch A17,1,0,3,181,279,103,1869 1870,"
                     ,  
                ",,567,.//tei:sourceDoc//tei:rs,0
1zzdp,Notizbuch C5,46,2,22,483,290,104,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,947,.//tei:sourceDoc//tei:rs,0
16b9z,Notizbuch C2,28,0,83,194,88,8,1867,1867,,401,.//tei:sourceDoc//tei:rs,0
22jtg,Notizbuch B14,2,0,0,1,119,114,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,236,.//tei:sourceDoc//tei:rs,0
1zzdv,Notizbuch C14,0,0,0,244,121,398,1875,1875,,763,.//tei:sourceDoc//tei:rs,0
22jtp,Notizbuch A5,20,2,9,642,399,127,1862,,,1199,.//tei:sourceDoc//tei:rs,0
1zzf1,Notizbuch D10,11,0,15,362,110,38, ,1871,,536,.//tei:sourceDoc//tei:rs,0
16b00,Notizbuch C7,14,0,7,124,125,9,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,279,.//tei:sourceDoc//tei:rs,0
22jth,Notizbuch A20,0,0,2,22,83,72,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,179,.//tei:sourceDoc//tei:rs,0
1zzdq,Notizbuch C6,3,0,5,188,114,73,1873,1873,1873,383,.//tei:sourceDoc//tei:rs,0
16q91,Notizbuch D1,16,0,70,359,109,41,19.05.1864-26.05.1864,1864,,595,.//tei:sourceDoc//tei:rs,0
1zzdz,Notizbuch D7,14,0,80,547,299,21,1871,1871,,961,.//tei:sourceDoc//tei:rs,0
1zzf3,Notizbuch E3,2,0,5,85,88,463,,,,643,.//tei:sourceDoc//tei:rs,0
22jtt,Notizbuch B8,1,0,0,14,77,346,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,438,.//tei:sourceDoc//tei:rs,0
1zzdk,Notizbuch A1,21,0,7,217,199,19,1864,1864,,463,.//tei:sourceDoc//tei:rs,0
