filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
1zzds,Notizbuch C11,1875,1875,,7,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,17
1zzds,Notizbuch C11,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,6
1zzds,Notizbuch C11,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzds,Notizbuch C11,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,5
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,9,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,15
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,12
22jt8,Notizbuch B3,1879-09-27 1879-10-02 1879-10-10 1879-11-04 1879-11-08 1879-11-11 1879-11-17,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,20
1zzf2,Notizbuch E2,,,,8,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,19
1zzf2,Notizbuch E2,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
1zzf2,Notizbuch E2,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,49
1zzf2,Notizbuch E2,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,32
1rhdj,Notizbuch A12,,,,22,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,11
1rhdj,Notizbuch A12,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
1rhdj,Notizbuch A12,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,82
1rhdj,Notizbuch A12,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,82
1rhdp,Notizbuch C10,1874,,,8,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
1rhdp,Notizbuch C10,1874,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
1rhdp,Notizbuch C10,1874,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1rhdp,Notizbuch C10,1874,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
22jtf,Notizbuch B13,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,25,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,15
